epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,159.723,0.64967,0.64496,0.55693,1.09344,0.9365,0.89979,0.93,0.84055,0.9303,0.9109,0.93742,0.78144,0.4755,0.55437,0.41734,0.8058,0.000594125,0.000594125,0.000594125
55,162.58,0.63484,0.65193,0.53842,1.06233,0.96962,0.88958,0.94086,0.85249,0.97115,0.89325,0.94869,0.7815,0.4818,0.57194,0.4217,0.80681,0.00058175,0.00058175,0.00058175
56,165.425,0.60204,0.62864,0.51366,1.02967,0.97258,0.89254,0.94053,0.84938,0.97661,0.89657,0.94594,0.76803,0.49394,0.60386,0.42901,0.81742,0.000569375,0.000569375,0.000569375
57,168.346,0.60174,0.66414,0.53995,1.05176,0.96615,0.87637,0.93865,0.85506,0.95716,0.89492,0.94657,0.78629,0.47876,0.59904,0.41548,0.79684,0.000557,0.000557,0.000557
58,171.178,0.62813,0.71583,0.57888,1.07122,0.96361,0.88756,0.93092,0.85004,0.94928,0.89782,0.93537,0.76854,0.47339,0.59435,0.41685,0.78391,0.000544625,0.000544625,0.000544625
59,174.194,0.62812,0.68377,0.53144,1.06809,0.94884,0.88957,0.92298,0.84251,0.94297,0.89575,0.92924,0.76664,0.46635,0.56665,0.43423,0.79356,0.00053225,0.00053225,0.00053225
60,177.031,0.60603,0.62621,0.55,1.06048,0.95365,0.89478,0.93444,0.85616,0.95763,0.89877,0.94144,0.76745,0.46542,0.54321,0.41467,0.81219,0.000519875,0.000519875,0.000519875
61,179.882,0.61514,0.6678,0.5226,1.03804,0.96421,0.89065,0.94258,0.87076,0.96864,0.89422,0.94836,0.79792,0.44977,0.48689,0.39925,0.81082,0.0005075,0.0005075,0.0005075
62,182.737,0.61696,0.64633,0.52481,1.05,0.95812,0.90206,0.94471,0.86206,0.96581,0.91405,0.95121,0.77677,0.46124,0.50827,0.39543,0.82002,0.000495125,0.000495125,0.000495125
63,185.588,0.56351,0.61066,0.49702,1.0166,0.95442,0.88895,0.94112,0.8583,0.94163,0.91025,0.94926,0.77459,0.48634,0.55552,0.45284,0.84715,0.00048275,0.00048275,0.00048275
64,188.412,0.59273,0.64601,0.50764,1.04837,0.9467,0.88624,0.93467,0.85334,0.93883,0.89405,0.93909,0.77801,0.53221,0.54311,0.49791,0.89872,0.000470375,0.000470375,0.000470375
65,191.264,0.5875,0.585,0.51022,1.04839,0.95893,0.89126,0.93097,0.85845,0.96077,0.89318,0.93581,0.77541,0.49371,0.56248,0.45034,0.86743,0.000458,0.000458,0.000458
66,194.092,0.57922,0.61059,0.50105,1.02701,0.96412,0.88506,0.93743,0.86281,0.94271,0.90963,0.9412,0.78749,0.45571,0.55339,0.40237,0.82343,0.000445625,0.000445625,0.000445625
67,196.986,0.59002,0.66194,0.51777,1.04179,0.97464,0.88917,0.94078,0.86113,0.97464,0.88917,0.94697,0.79336,0.45738,0.54195,0.38134,0.81541,0.00043325,0.00043325,0.00043325
68,199.845,0.553,0.58324,0.4812,1.02903,0.97408,0.88788,0.93865,0.86477,0.94225,0.91151,0.94773,0.7845,0.45906,0.51383,0.38971,0.8019,0.000420875,0.000420875,0.000420875
69,202.879,0.56674,0.57572,0.49627,1.02425,0.96864,0.89621,0.93498,0.86197,0.96747,0.89684,0.94425,0.7846,0.44987,0.4999,0.38754,0.79274,0.0004085,0.0004085,0.0004085
70,205.735,0.55744,0.58461,0.48785,1.03539,0.95069,0.89323,0.93419,0.85672,0.95121,0.89449,0.94197,0.76799,0.43835,0.55344,0.40703,0.78938,0.000396125,0.000396125,0.000396125
