Image Index,Preprocess Time (ms),Inference Time (ms),Postprocess Time (ms),Filtering Time (ms),Line Count,Barrel Count,Traffic Count,Grass Count
155,0.8765750098973513,8.51417999365367,1.3926549872849137,3.8306713104248047,2,1,0,3
156,0.83710000035353,8.02895799279213,1.1650829983409494,3.6194324493408203,2,0,0,3
157,0.8745109953451902,8.460617973469198,1.1339740012772381,3.5474300384521484,2,0,0,3
158,0.8146270120050758,8.867371012456715,1.4120020205155015,3.5905838012695312,2,0,0,3
159,0.8215899870265275,8.648895978694782,1.136499020503834,4.307746887207031,2,0,0,3
160,0.8433320035692304,8.023458009120077,1.1353360023349524,3.7283897399902344,2,0,0,3
161,0.7939480128698051,8.708469016710296,1.1437619978096336,3.726482391357422,2,0,0,3
162,0.8503250137437135,8.540088980225846,1.4966220187488943,3.6504268646240234,2,0,0,3
163,1.0124719992745668,8.424800005741417,1.1375000176485628,3.712177276611328,2,0,0,3
164,1.0307379998266697,8.591977995820343,1.1272209812887013,3.662109375,2,0,0,3
165,1.0022429923992604,8.01085401326418,1.1206089984625578,3.6988258361816406,2,0,0,3
166,1.0675470111891627,8.539929025573656,1.1182940215803683,3.5102367401123047,2,0,0,3
167,0.8266899967566133,8.87537599192001,1.1343439982738346,3.7660598754882812,2,0,0,3
168,1.024525990942493,8.652913005789742,1.1342140205670148,3.7636756896972656,2,0,0,3
169,0.8200979791581631,8.837374014547095,1.111882011173293,3.492593765258789,2,0,0,3
170,0.8408169960603118,8.797577989753336,1.1419389920774847,3.4050941467285156,2,0,0,3
171,0.8176020055543631,8.63443801063113,1.67134398361668,3.6225318908691406,2,0,0,3
172,0.8228629885707051,8.69725801749155,1.13619799958542,3.791332244873047,2,0,0,3
173,0.8121719874907285,8.595524006523192,1.1694410059135407,3.5047531127929688,2,0,0,3
174,0.9780479886103421,8.643605979159474,1.2508749787230045,3.4918785095214844,2,0,0,3
175,0.8521279960405082,8.79881001310423,1.5623079962097108,3.808736801147461,2,0,0,3
176,0.8297850145027041,8.253373991465196,1.2607440003193915,3.738880157470703,2,0,0,3
177,0.8243850024882704,8.852392988046631,1.1717760062310845,3.7145614624023438,2,0,0,3
178,0.8267600205726922,8.645619003800675,1.2551529798656702,3.4160614013671875,2,0,0,3
179,0.8097279933281243,8.42990999808535,1.1410070001147687,3.6509037017822266,2,0,0,3
180,0.8279219910036772,8.59628600301221,1.1360969801899046,3.59344482421875,2,0,0,3
181,0.9729579905979335,8.632284007035196,1.1493429774418473,3.4630298614501953,2,1,1,3
182,0.8261190087068826,8.52674400084652,1.2481700105126947,3.6242008209228516,2,0,0,3
183,0.8557249966543168,8.097107987850904,1.1417079949751496,3.600597381591797,2,0,0,3
184,0.8167810156010091,8.692798990523443,1.648289995500818,3.6351680755615234,2,0,0,3
185,1.0566069977357984,8.719990990357473,1.1508049792610109,3.6945343017578125,2,1,1,3
186,0.8284130017273128,8.75611900119111,1.1465270072221756,3.801107406616211,2,0,1,3
187,0.8035869977902621,8.148805995006114,1.3707029866054654,3.7512779235839844,2,1,1,3
188,0.8324299997184426,8.873362006852403,1.1515570222400129,4.002809524536133,2,1,0,3
189,1.0904110094998032,8.534248016076162,1.1600930010899901,3.884553909301758,2,1,1,3
190,0.7984859985299408,8.866789983585477,1.12417500349693,3.5979747772216797,2,1,0,3
191,0.8403259853366762,8.618388004833832,1.408896001521498,3.687143325805664,2,1,0,3
192,0.8505260047968477,8.655778015963733,1.2241550139151514,3.6423206329345703,2,1,1,3
193,1.0022339993156493,8.811042993329465,1.1526989983394742,3.999471664428711,2,1,0,3
194,1.022651995299384,8.822745992802083,1.1253070260863751,3.5893917083740234,2,1,0,3
195,0.8025949937291443,8.54361499659717,1.1594819952733815,3.8459300994873047,2,1,1,3
196,0.9861929866019636,8.798850001767278,1.301743002841249,3.573894500732422,2,1,2,3
197,0.8303259965032339,8.531723025953397,1.1558750120457262,3.777027130126953,2,1,1,3
198,0.8461779798381031,9.106012992560863,1.5385120059363544,3.8514137268066406,2,1,2,4
199,0.9392030187882483,8.925901987822726,1.182945998152718,3.566265106201172,2,1,2,3
200,1.023664022795856,8.922545006498694,1.2142760097049177,4.51350212097168,2,1,2,3
201,1.0753120004665107,8.948625007178634,1.2902909948024899,3.8580894470214844,2,1,2,3
202,0.8157289994414896,8.863041992299259,1.4310980041045696,3.5810470581054688,2,1,1,3
203,0.8217810245696455,8.895453996956348,1.8999489839188755,4.055500030517578,2,1,1,4
204,0.8275919826701283,8.968201989773661,1.4899800007697195,3.8318634033203125,2,1,1,3
205,1.035586989019066,9.022635000292212,1.3352160167414695,3.929615020751953,2,1,1,3
206,0.9090560197364539,9.119238995481282,1.1607750202529132,4.157543182373047,2,1,1,3
207,1.042419986333698,8.760577999055386,1.5135339926928282,3.7496089935302734,2,1,1,4
208,0.716029986506328,9.233585995389149,1.6572769964113832,3.9217472076416016,2,1,1,3
209,0.8833979954943061,9.224048000760376,1.145875983638689,3.601551055908203,2,1,1,3
210,0.8494330104440451,9.025651001138613,1.1269599781371653,3.8983821868896484,2,1,1,2
211,0.8066720038186759,8.967881003627554,1.1357770126778632,3.6177635192871094,2,1,1,2
212,0.9188749827444553,8.999471989227459,1.1284129868727177,2.318143844604492,2,1,1,2
213,0.7085859833750874,9.027334017446265,1.8459059938322753,1.9330978393554688,2,0,1,2
214,0.8811939915176481,9.013317001517862,1.1229429801460356,2.263784408569336,2,0,1,2
215,0.8200070005841553,8.93617098336108,1.1140959977637976,2.046823501586914,1,0,1,2
216,0.8134149829857051,9.258923993911594,1.1077240051236004,1.9478797912597656,1,0,1,2
217,0.8181640005204827,8.837413013679907,1.701060973573476,2.1572113037109375,1,0,1,2
218,0.8190160151571035,8.522094984073192,1.153251010691747,1.9602775573730469,1,0,1,2
219,0.7995390042196959,8.549085992854089,1.2317300133872777,2.0530223846435547,1,0,1,2
220,1.023364020511508,8.446200983598828,1.12510597682558,2.0318031311035156,1,0,1,2
221,0.8266099903266877,8.643103996291757,1.1747110111173242,2.05230712890625,1,0,1,2
222,0.8334129815921187,8.653214026708156,1.1271800030954182,2.064228057861328,1,0,1,2
223,0.8257990120910108,8.632123994175345,1.128253003116697,2.06756591796875,1,0,1,2
224,1.1317789903841913,8.358193008461967,1.1235139972995967,2.0360946655273438,1,0,1,2
225,0.8098880061879754,8.290253987070173,1.2161499762441963,2.038240432739258,1,0,1,2
226,0.8362990047316998,8.634739002445713,1.1277319863438606,2.180337905883789,1,0,1,2
227,0.8319600019603968,8.021394023671746,1.1812630109488964,2.061605453491211,1,0,1,2
228,0.8167609921656549,9.151048987405375,1.2458359997253865,2.153158187866211,1,0,1,2
229,0.8542419818695635,8.737933996599168,1.1210889788344502,2.2783279418945312,1,0,1,2
230,0.8358269988093525,8.634007012005895,1.1207490169908851,1.97601318359375,1,0,1,2
231,1.099178014555946,8.459264994598925,1.2381520064081997,2.1669864654541016,1,0,1,2
232,0.9432809893041849,8.860446978360415,1.3718149857595563,2.2058486938476562,1,0,1,2
233,0.8086460002232343,8.387098991079256,1.1275510187260807,1.9507408142089844,1,0,1,2
234,0.8066120208241045,8.62479000352323,1.1080240074079484,2.0399093627929688,1,0,1,2
235,0.8539819973520935,8.01265798509121,1.1779969790950418,2.191781997680664,1,1,0,2
236,1.0846499935723841,8.632935001514852,1.1708640085998923,1.9490718841552734,1,0,1,2
237,0.8650730014778674,8.565146999899298,1.1190549994353205,2.226114273071289,1,0,0,2
238,0.8286640222650021,8.625380985904485,1.1124220036435872,1.9550323486328125,1,0,0,2
239,0.8035459904931486,9.413438005140051,1.4460959937423468,2.1092891693115234,1,0,0,2
240,0.822111003799364,8.610383025370538,1.1379210045561194,1.8413066864013672,1,0,0,2
241,0.8205279882531613,8.427955996012315,1.23140899813734,1.962900161743164,1,0,0,2
242,0.8076939848251641,8.633476012619212,1.1100279807578772,2.071380615234375,1,0,0,2
243,0.7309990178328007,8.63174197729677,1.1146169854328036,2.088308334350586,1,0,0,2
244,0.8063720015343279,8.728457003599033,1.0993579926434904,1.940011978149414,1,0,0,2
245,0.8245659992098808,8.405913977185264,1.1055089998990297,1.9106864929199219,1,0,0,2
246,0.8240449824370444,8.723397011635825,1.1094269866589457,1.8727779388427734,1,0,0,2
247,0.8050389878917485,8.796996000455692,1.0890680132433772,2.109527587890625,1,0,0,2
248,0.8255269785877317,7.960507995449007,1.1247560032643378,1.9903182983398438,1,0,0,2
249,0.8448339940514416,8.243747026426718,1.1215700069442391,1.94549560546875,1,0,0,2
250,0.8156989933922887,9.232863987563178,1.3536810001824051,1.9412040710449219,1,0,0,2
251,0.8317699830513448,8.837913977913558,1.0869640100281686,2.1085739135742188,1,0,0,2
252,0.8199480071198195,8.689803013112396,1.1657139984890819,1.8537044525146484,1,0,0,2
253,0.8260690083261579,8.386286994209513,1.1181230074726045,3.4003257751464844,2,0,0,2
254,0.8462170080747455,8.685245004016906,1.1390430154278874,2.0661354064941406,1,0,0,2
255,1.0895089944824576,8.388892019866034,1.1178120039403439,1.8463134765625,1,0,0,2
256,0.816359999589622,8.225882018450648,1.1013309995178133,1.9617080688476562,1,0,0,2
257,1.0152280156034976,8.75127999461256,1.1150380014441907,1.9793510437011719,2,0,0,2
258,0.9115819993894547,8.62409797264263,1.1210189841222018,1.949310302734375,2,0,0,2
259,0.808846001746133,8.634858997538686,1.1155579995829612,1.8589496612548828,1,0,0,2
260,0.8323609945364296,8.569775003707036,1.2483300233725458,2.1114349365234375,1,0,0,2
261,0.8310580160468817,9.22677299240604,1.530106004793197,1.9953250885009766,2,0,0,2
262,1.0997579956892878,8.924740017391741,1.1153279920108616,1.857757568359375,1,0,0,2
263,1.0744910105131567,8.378452010219917,1.112372992793098,1.9643306732177734,1,0,0,2
264,0.8390739967580885,8.015111001441255,1.1373299930710346,1.9392967224121094,1,0,0,2
265,1.0691809875424951,8.59327000216581,1.0726269974838942,2.0949840545654297,1,0,0,2
266,0.8274110150523484,8.762491983361542,1.1048580054193735,1.9905567169189453,1,0,0,2
267,0.8476499933749437,7.966198987560347,1.118273998145014,3.6096572875976562,2,0,0,2
268,0.8228429942391813,8.77811000100337,1.1195959814358503,1.9211769104003906,2,0,0,2
269,0.8031949982978404,8.396787015954033,1.2328809825703502,3.717660903930664,2,0,0,3
270,0.8007110154721886,8.71721500880085,1.1149579950142652,2.1131038665771484,1,0,0,2
271,0.8071729971561581,8.373151998966932,1.222070015501231,1.96075439453125,1,0,0,2
272,0.8126129978336394,8.70241702068597,1.1332319991197437,1.9571781158447266,1,0,0,2
273,0.8162710000760853,8.608578995335847,1.1218010040465742,1.9440650939941406,1,0,0,2
274,0.8344550151377916,8.749255997827277,1.1109400074929,1.8353462219238281,1,0,0,2
275,1.0228329920209944,8.636662998469546,1.0964120156131685,1.9986629486083984,1,0,0,2
276,0.8053090132307261,9.005181986140087,1.371264981571585,2.0813941955566406,2,0,0,2
